"","X","sid","age","female","ethnic","married","major","HSalg","HScalc","COalg","COcalc","likeeng","likemath","matheng","extramath","extraeng","prefsub","rd","mv","sonaid","nativea","asian","africana","hispanic","pacifici","white","majortype","vp","mp","corv","gotv","corm","gotm","vt","mt","id","cav","trt"
"101",101,207,18,"Male","Hisp","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i dislike them a lot","i like them a little","i like math and statistics best","maybe","certainly not","3 8 15","rdd","vocab training",32926,"no","no","no","yes","no","no","math intensive",17,6,31,"yes",0,"no",15,7,207,-3,0
"102",102,210,20,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math and statistics best","not really","maybe","14","rdd","vocab training",32869,"no","no","no","yes","no","no","math intensive",19,6,26,"yes",0,"no",12,8,210,-1,0
"103",103,213,21,"Male","White","Single","congnitive sciences, b.s./b.a.","Yes","No","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","maybe","maybe","1 11 15","rdd","math training",32776,"no","no","no","no","no","yes","english intensive",23,10,0,"no",4,"yes",8,12,213,3,1
"104",104,216,18,"Male","Asian","Single","biological sciences, b.s.","Yes","Yes","No","No","i dislike them a lot","i niether like nor dislike them","i like math and statistics best","maybe","certainly not","3 4 14","rdd","math training",32824,"no","yes","no","no","no","no","math intensive",22,13,0,"no",4,"yes",8,16,216,2,1
"105",105,219,20,"Female","Hisp","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i like them a lot","i like them a lot","i like math/statistics and composition/literature equally well","probably","probably","2 11 15","rdd","math training",32686,"no","no","no","yes","no","no","english intensive",24,6,0,"no",5,"yes",12,16,219,4,1
"106",106,220,18,"Male","Other","Single","biological sciences, b.s.","Yes","Yes","Yes","No","i like them a lot","i like them a little","i like composition and literature best","maybe","defintely","1 2 3","rdd","math training",32368,"no","no","no","no","no","no","math intensive",25,5,0,"no",0,"no",5,11,220,5,1
"107",107,223,21,"Male","Asian","Single","environmental engineering, b.s. ","Yes","Yes","Yes","Yes","i like them a little","i like them a lot","i like math and statistics best","probably","probably","1 2 14","rdd","math training",32728,"no","yes","no","no","no","no","math intensive",23,12,0,"no",5,"yes",5,17,223,3,1
"108",108,225,20,"Male","Other","Single","economics, b.a. ","Yes","No","No","Yes","i dislike them a lot","i like them a little","i like math and statistics best","definitely","certainly not","4,11,12","rdd","math training",31603,"no","no","no","no","no","no","math intensive",22,7,0,"no",5,"yes",2,14,225,2,1
"109",109,226,19,"Female","White","Single","psychology, b.a.","Yes","No","Yes","Yes","i like them a lot","i like them a lot","i like math and statistics best","definitely","probably","3516","rdd","vocab training",32857,"no","no","no","no","no","yes","english intensive",13,3,7,"yes",0,"no",6,7,226,-7,1
"110",110,227,19,"Female","Other","Single","psychology, b.a.","No","Yes","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","definitely","maybe","2 10 14","rdd","vocab training",31834,"no","no","no","no","no","no","english intensive",19,5,31,"yes",0,"no",18,5,227,-1,1
"111",111,244,21,"Female","Asian","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i dislike them a little ","i niether like nor dislike them","i like math and statistics best","not really","not likely","14 15","rdd","math training",30877,"no","yes","no","no","no","no","english intensive",20,7,0,"no",4,"yes",12,14,244,0,1
"112",112,246,19,"Female","Black","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","certainly not","certainly not","3 4 12","rdd","math training",32467,"no","no","yes","no","no","no","math intensive",27,3,0,"no",3,"yes",8,13,246,7,1
"113",113,248,18,"Female","Other","Single","psychology, b.a.","Yes","No","Yes","No","i dislike them a little ","i like them a little","i like math/statistics and composition/literature equally well","certainly not","certainly not","8 14 15","rdd","vocab training",32326,"no","no","no","no","yes","no","english intensive",19,6,31,"yes",0,"no",11,9,248,-1,0
"114",114,249,21,"Male","Asian","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i like them a lot","i dislike them a lot","i like composition and literature best","not really","probably","11 14 15","rdd","math training",32275,"no","yes","no","no","no","no","english intensive",21,5,0,"no",5,"yes",6,13,249,1,1
"115",115,253,18,"Female","Hisp","Single","bioengineering, b.s.","No","Yes","No","Yes","i niether like nor dislike them","i like them a lot","i like math and statistics best","definitely","not likely","2 3 14","rdd","math training",32965,"no","no","no","yes","no","no","math intensive",22,7,0,"no",5,"yes",3,16,253,2,1
"116",116,254,20,"Female","Other","Single","congnitive sciences, b.s./b.a.","Yes","No","Yes","Yes","i like them a lot","i like them a little","i like composition and literature best","not really","not likely","2 6 9 14","rdd","math training",30817,"no","no","no","no","no","no","english intensive",25,8,0,"no",5,"yes",10,15,254,5,1
"117",117,255,19,"Female","Asian","Single","psychology, b.a.","Yes","Yes","No","No","i like them a lot","i like them a little","i like composition and literature best","maybe","defintely","2,3,14","rdd","math training",33061,"no","yes","no","no","no","no","english intensive",27,4,0,"no",5,"yes",10,17,255,7,1
"118",118,256,20,"Female","White","Single","congnitive sciences, b.s./b.a.","Yes","No","Yes","No","i dislike them a lot","i dislike them a lot","i like math/statistics and composition/literature equally well","not really","maybe","2 3 4 14","rdd","math training",32002,"no","no","no","no","no","yes","english intensive",29,8,0,"no",5,"yes",2,12,256,9,1
"119",119,257,20,"Male","Asian","Single","chemical sciences,  b.s. ","Yes","Yes","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","maybe","certainly not","3 4 11","rdd","vocab training",31102,"no","yes","no","no","no","no","math intensive",13,9,27,"yes",0,"no",13,17,257,-7,0
"120",120,259,19,"Female","Black","Single","psychology, b.a.","Yes","Yes","No","No","i like them a lot","i niether like nor dislike them","i like composition and literature best","not really","defintely","1, 2, 6","rdd","math training",30883,"no","no","yes","no","no","no","english intensive",21,6,0,"no",3,"yes",8,8,259,1,1
"121",121,260,18,"Female","Asian","Single","management, b.s.","Yes","No","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","certainly not","certainly not","5 6 7","rdd","math training",32968,"no","yes","no","no","no","no","english intensive",20,6,0,"no",5,"yes",7,15,260,0,1
"122",122,261,19,"Female","Hisp","Single","literatures/cultures, b.a.","Yes","No","No","Yes","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","defintely","8 9 10","rdd","math training",33040,"no","no","no","yes","no","no","english intensive",22,8,0,"no",5,"yes",11,14,261,2,1
"123",123,262,19,"Female","Black","Single","undecided","Yes","No","No","Yes","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","maybe","2 8 14","rdd","vocab training",31054,"no","no","yes","no","no","no","unknown",18,6,5,"yes",0,"no",14,7,262,-2,0
"124",124,268,21,"Male","Hisp","Married","psychology, b.a.","Yes","No","Yes","No","i like them a lot","i niether like nor dislike them","i like composition and literature best","not really","maybe","14 15 10","rdd","math training",33025,"no","no","no","yes","no","no","english intensive",22,8,0,"no",5,"yes",6,15,268,2,1
"125",125,271,21,"Female","Asian","Single","congnitive sciences, b.s./b.a.","Yes","No","No","Yes","i like them a little","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","2 6 10","rdd","vocab training",NA,"no","yes","no","no","no","no","english intensive",3,6,2,"yes",0,"no",0,0,271,-17,0
"126",126,272,21,"Female","Hisp","Single","psychology, b.a.","Yes","No","Yes","No","i niether like nor dislike them","i dislike them a lot","i like composition and literature best","certainly not","maybe","14 8 2","rdd","math training",33067,"no","no","no","yes","no","no","english intensive",21,5,0,"no",4,"yes",5,11,272,1,1
"127",127,273,20,"Male","White","Married","biological sciences, b.s.","Yes","Yes","Yes","Yes","i like them a lot","i like them a little","i like composition and literature best","certainly not","maybe","11","rdd","math training",31039,"no","no","no","no","no","yes","math intensive",22,14,0,"no",3,"yes",5,14,273,2,1
"128",128,276,20,"Female","Black","Single","psychology, b.a.","Yes","No","No","Yes","i like them a lot","i dislike them a little","i like composition and literature best","certainly not","defintely","7 3 14","rdd","math training",32059,"no","no","yes","no","no","no","english intensive",20,7,0,"no",4,"yes",4,6,276,0,1
"129",129,278,20,"Male","Asian","Single","bioengineering, b.s.","Yes","Yes","No","Yes","i like them a little","i dislike them a little","i like math and statistics best","not really","maybe","3 11 14","rdd","math training",33016,"no","yes","no","no","no","no","math intensive",27,10,0,"no",5,"yes",12,18,278,7,1
"130",130,281,20,"Male","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","not really","certainly not","3 8 10 14 15","rdd","math training",31957,"no","yes","no","no","no","no","math intensive",23,10,0,"no",5,"yes",8,18,281,3,1
"131",131,284,19,"Male","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i dislike them a lot","i like composition and literature best","certainly not","maybe","9 8 5","rdd","math training",31690,"no","yes","no","no","no","no","math intensive",27,11,0,"no",5,"yes",16,20,284,7,1
"132",132,285,21,"Male","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math and statistics best","maybe","not likely","3 11 14","rdd","math training",33091,"no","yes","no","no","no","no","math intensive",25,13,0,"no",5,"yes",11,17,285,5,1
"133",133,287,18,"Female","Black","Single","psychology, b.a.","Yes","No","No","No","i like them a lot","i like them a little","i like composition and literature best","certainly not","probably","2 6 14","rdd","math training",31372,"no","no","yes","no","no","no","english intensive",20,11,0,"no",4,"yes",7,14,287,0,1
"134",134,288,20,"Male","White","Single","history, b.a.","Yes","No","No","No","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","10 11 14","rdd","math training",33097,"no","no","no","no","no","yes","english intensive",30,10,0,"no",4,"yes",11,13,288,10,1
"135",135,289,20,"Female","Hisp","Single","management, b.s.","Yes","Yes","No","No","i dislike them a little ","i like them a little","i like math and statistics best","maybe","not likely","2 9 10","rdd","math training",31774,"no","no","no","yes","no","no","english intensive",22,7,0,"no",4,"yes",6,14,289,2,1
"136",136,298,18,"Female","Hisp","Single","management, b.s.","Yes","Yes","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","maybe","not likely","7 8 10","rdd","math training",32377,"no","no","no","yes","no","no","english intensive",23,10,0,"no",5,"yes",9,17,298,3,1
"137",137,301,19,"Female","Black","Single","psychology, b.a.","Yes","No","No","Yes","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","maybe","14","rdd","math training",31960,"no","no","yes","no","no","no","english intensive",20,4,0,"no",5,"yes",7,11,301,0,1
"138",138,302,19,"Female","Black","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","defintely","2 8 12 15","rdd","math training",31057,"no","no","yes","no","no","no","english intensive",22,5,0,"no",2,"yes",2,8,302,2,1
"139",139,307,20,"Female","Asian","Single","psychology, b.a.","Yes","Yes","Yes","Yes","i dislike them a little ","i like them a little","i like math and statistics best","not really","not likely","8 14 15","rdd","math training",32947,"no","yes","no","no","no","no","english intensive",28,12,0,"no",5,"yes",9,18,307,8,1
"140",140,310,19,"Female","Hisp","Single","management, b.s.","Yes","No","Yes","Yes","i like them a little","i like them a little","i like composition and literature best","not really","not likely","14","rdd","math training",33049,"no","no","no","yes","no","no","english intensive",20,1,0,"no",5,"yes",1,5,310,0,1
"141",141,313,20,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i dislike them a lot","i like them a lot","i like math and statistics best","maybe","certainly not","3 7 9","rdd","vocab training",33118,"no","yes","no","no","no","no","math intensive",15,7,15,"yes",0,"no",11,16,313,-5,0
"142",142,316,19,"Male","Asian","Single","other","Yes","Yes","No","No","i niether like nor dislike them","i dislike them a little","i like math and statistics best","certainly not","certainly not","2 10 12","rdd","vocab training",33073,"no","yes","no","no","no","no","unknown",12,6,17,"yes",0,"no",8,10,316,-8,0
"143",143,322,21,"Female","White","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","not really","certainly not","3 4 9","rdd","math training",30937,"no","no","no","no","no","yes","math intensive",25,7,0,"no",5,"yes",12,17,322,5,1
"144",144,323,19,"Female","Asian","Single","psychology, b.a.","Yes","No","No","No","i dislike them a little ","i like them a little","i like math and statistics best","maybe","certainly not","2 3 14","rdd","math training",32242,"no","yes","no","no","no","no","english intensive",21,6,0,"no",3,"yes",5,13,323,1,1
"145",145,328,19,"Female","White","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i like them a lot","i like them a little","i like composition and literature best","certainly not","maybe","4 5 12","rdd","math training",32545,"no","no","no","no","no","yes","math intensive",28,11,0,"no",5,"yes",10,17,328,8,1
"146",146,329,18,"Female","Asian","Single","psychology, b.a.","Yes","No","No","No","i niether like nor dislike them","i dislike them a little","i like composition and literature best","certainly not","not likely","14","rdd","math training",32446,"no","yes","no","no","no","no","english intensive",26,6,0,"no",3,"yes",5,7,329,6,1
"147",147,331,21,"Male","White","Single","psychology, b.a.","Yes","No","No","No","i dislike them a little ","i like them a little","i like math and statistics best","not really","certainly not","6 11 14","rdd","math training",33094,"no","no","no","no","no","yes","english intensive",26,12,0,"no",5,"yes",7,17,331,6,1
"148",148,334,20,"Female","Black","Single","psychology, b.a.","Yes","No","No","No","i niether like nor dislike them","i dislike them a lot","i like composition and literature best","certainly not","maybe","6 10 15","rdd","vocab training",32095,"no","no","yes","no","no","no","english intensive",18,10,7,"yes",0,"no",11,4,334,-2,0
"149",149,337,19,"Female","White","Single","management, b.s.","Yes","No","No","No","i niether like nor dislike them","i dislike them a little","i like math/statistics and composition/literature equally well","certainly not","certainly not","3 6 7","rdd","math training",32995,"no","no","no","no","no","yes","english intensive",27,10,0,"no",5,"yes",6,16,337,7,1
"150",150,343,18,"Female","Other","Single","chemical sciences,  b.s. ","Yes","Yes","No","No","i like them a little","i dislike them a little","i like math/statistics and composition/literature equally well","not really","maybe","2 4 8","rdd","math training",32989,"no","no","no","no","yes","no","math intensive",21,6,0,"no",4,"yes",7,18,343,1,1
"151",151,344,20,"Female","Other","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a lot","i like math/statistics and composition/literature equally well","probably","defintely","1234567891011121315","rdd","vocab training",31330,"no","no","no","no","yes","no","english intensive",18,5,16,"yes",0,"no",11,4,344,-2,1
"152",152,346,20,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","Yes","Yes","i like them a lot","i like them a little","i like math/statistics and composition/literature equally well","probably","maybe","3 7 10","rdd","vocab training",30940,"no","yes","no","no","no","no","math intensive",10,6,31,"yes",0,"no",15,9,346,-10,0
"153",153,348,20,"Female","Asian","Single","psychology, b.a.","Yes","Yes","No","Yes","i like them a lot","i like them a little","i like composition and literature best","not really","maybe","2 10 14","rdd","math training",32959,"no","yes","no","no","no","no","english intensive",21,10,0,"no",4,"yes",11,14,348,1,1
"154",154,511,18,"Female","White","Single","polical science, b.a. ","Yes","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","not really","probably","7 13 14","rdd","math training",33457,"no","no","no","no","no","yes","english intensive",23,8,0,"no",5,"yes",2,11,511,3,1
"155",155,512,18,"Female","Asian","Single","undecided","Yes","No","No","Yes","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","maybe","3 8 14","rdd","math training",33568,"no","yes","no","no","no","no","unknown",29,9,0,"no",5,"yes",10,17,512,9,1
"156",156,513,19,"Female","White","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","not really","maybe","11 14 15","rdd","math training",33469,"no","no","no","no","no","yes","english intensive",20,7,0,"no",5,"yes",3,12,513,0,1
"157",157,514,18,"Female","Other","Single","psychology, b.a.","Yes","No","No","No","i like them a lot","i like them a little","i like composition and literature best","definitely","probably","14 7 8","rdd","math training",33817,"no","no","no","no","yes","no","english intensive",25,7,0,"no",5,"yes",13,16,514,5,1
"158",158,517,18,"Female","Asian","Single","economics, b.a. ","Yes","Yes","No","Yes","i like them a little","i like them a lot","i like math/statistics and composition/literature equally well","not really","not likely","7 8 14","rdd","math training",33820,"no","yes","no","no","no","no","math intensive",22,4,0,"no",5,"yes",6,15,517,2,1
"159",159,518,18,"Female","White","Single","literatures/cultures, b.a.","Yes","No","No","No","i like them a lot","i niether like nor dislike them","i like composition and literature best","maybe","defintely","14 2 6","rdd","math training",33400,"no","no","no","no","no","yes","english intensive",24,8,0,"no",5,"yes",4,14,518,4,1
"160",160,519,18,"Female","Hisp","Single","undecided","Yes","No","No","No","i like them a lot","i dislike them a little","i like composition and literature best","not really","maybe","6810","rdd","vocab training",33670,"no","no","no","yes","no","no","unknown",11,10,31,"yes",0,"no",10,5,519,-9,0
"161",161,521,18,"Male","White","Single","undecided","Yes","No","No","No","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","maybe","13 14","rdd","math training",33376,"no","no","no","no","no","yes","unknown",25,8,0,"no",5,"yes",7,13,521,5,1
"162",162,523,21,"Male","Hisp","Single","biological sciences, b.s.","Yes","Yes","Yes","Yes","i niether like nor dislike them","i niether like nor dislike them","i like composition and literature best","not really","not likely","3 4","rdd","math training",33424,"no","no","no","yes","no","no","math intensive",25,6,0,"no",3,"yes",8,15,523,5,1
"163",163,526,19,"Male","Hisp","Single","biological sciences, b.s.","Yes","No","No","Yes","i dislike them a little ","i dislike them a lot","i like composition and literature best","certainly not","maybe","3 4 6","rdd","math training",33208,"no","no","no","yes","no","no","math intensive",23,9,0,"no",5,"yes",5,16,526,3,1
"164",164,527,20,"Female","Black","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","not really","probably","3 9 14","rdd","math training",33577,"no","no","yes","no","no","no","math intensive",24,6,0,"no",5,"yes",10,17,527,4,1
"165",165,528,21,"Female","Asian","Single","congnitive sciences, b.s./b.a.","Yes","No","No","Yes","i dislike them a little ","i niether like nor dislike them","i like math and statistics best","not really","not likely","7 14 9","rdd","vocab training",33184,"no","yes","no","no","no","no","english intensive",16,7,31,"yes",0,"no",12,15,528,-4,0
"166",166,529,19,"Male","Hisp","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i dislike them a little ","i dislike them a little","i like math/statistics and composition/literature equally well","not really","not likely","3 4 11","rdd","math training",33583,"no","no","no","yes","no","no","math intensive",26,7,0,"no",5,"yes",10,17,529,6,1
"167",167,530,19,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","certainly not","maybe","2 8 10","rdd","vocab training",32014,"no","yes","no","no","no","no","math intensive",19,8,31,"yes",0,"no",12,16,530,-1,0
"168",168,531,19,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","not really","maybe","4 12 14","rdd","math training",33448,"no","yes","no","no","no","no","math intensive",22,5,0,"no",5,"yes",7,15,531,2,1
"169",169,534,18,"Male","Hisp","Single","biological sciences, b.s.","Yes","Yes","No","No","i like them a little","i dislike them a little","i like composition and literature best","certainly not","not likely","4 14 12","rdd","math training",33430,"no","no","no","yes","no","no","math intensive",28,8,0,"no",1,"yes",12,15,534,8,1
"170",170,535,18,"Female","Asian","Single","undecided","Yes","No","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","probably","not likely","7 15 14","rdd","vocab training",33589,"no","yes","no","no","no","no","unknown",9,3,31,"yes",0,"no",10,4,535,-11,1
"171",171,536,19,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","maybe","certainly not","3 8 14","rdd","math training",33745,"no","yes","no","no","no","no","math intensive",25,12,0,"no",5,"yes",8,16,536,5,1
"172",172,540,18,"Male","Asian","Single","congnitive sciences, b.s./b.a.","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","not really","defintely","5 14 15","rdd","math training",33541,"no","yes","no","no","no","no","english intensive",27,11,0,"no",5,"yes",12,12,540,7,1
"173",173,545,21,"Male","White","Single","congnitive sciences, b.s./b.a.","Yes","No","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","not really","not likely","4 5 7","rdd","math training",33553,"no","no","no","no","no","yes","english intensive",21,6,0,"no",5,"yes",13,17,545,1,1
"174",174,546,21,"Female","White","Single","bioengineering, b.s.","Yes","Yes","Yes","Yes","i like them a lot","i like them a lot","i like math/statistics and composition/literature equally well","definitely","defintely","3 4 7","rdd","math training",33346,"no","no","no","no","no","yes","math intensive",30,9,0,"no",5,"yes",13,17,546,10,1
"175",175,547,19,"Female","Asian","Single","undecided","Yes","No","No","Yes","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","maybe","2,8,14","rdd","vocab training",33610,"no","yes","no","no","no","no","unknown",19,6,31,"yes",0,"no",11,11,547,-1,0
"176",176,548,21,"Male","White","Single","psychology, b.a.","Yes","No","Yes","No","i like them a little","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","probably","10 11 14","rdd","vocab training",31666,"no","no","no","no","no","yes","english intensive",19,7,31,"yes",0,"no",13,8,548,-1,0
"177",177,549,19,"Female","Hisp","Single","biological sciences, b.s.","No","Yes","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","maybe","not likely","3 8 9","rdd","math training",33673,"no","no","no","yes","no","no","math intensive",22,7,0,"no",5,"yes",14,16,549,2,1
"178",178,555,18,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","probably","certainly not","3 4 14","rdd","vocab training",33649,"no","yes","no","no","no","no","math intensive",18,6,31,"yes",0,"no",10,14,555,-2,0
"179",179,557,18,"Male","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","maybe","not likely","4 5 12","rdd","math training",33937,"no","yes","no","no","no","no","math intensive",23,14,0,"no",5,"yes",5,17,557,3,1
"180",180,558,21,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","certainly not","maybe","14 10 3","rdd","math training",31072,"no","yes","no","no","no","no","math intensive",25,3,0,"no",5,"yes",9,17,558,5,1
"181",181,559,19,"Male","Asian","Single","biological sciences, b.s.","Yes","Yes","Yes","Yes","i dislike them a lot","i like them a lot","i like math and statistics best","certainly not","certainly not","3 7 11","rdd","math training",33709,"no","yes","no","no","no","no","math intensive",22,9,0,"no",5,"yes",7,14,559,2,1
"182",182,560,19,"Female","Asian","Single","psychology, b.a.","Yes","No","Yes","No","i dislike them a little ","i niether like nor dislike them","i like math and statistics best","not really","not likely","6 14 15","rdd","vocab training",33796,"no","yes","no","no","no","no","english intensive",8,6,31,"yes",0,"no",16,8,560,-12,0
"183",183,561,20,"Female","Hisp","Single","congnitive sciences, b.s./b.a.","Yes","No","No","No","i dislike them a little ","i like them a little","i like math and statistics best","not really","certainly not","1 6 15","rdd","math training",33946,"no","no","no","yes","no","no","english intensive",22,8,0,"no",5,"yes",6,16,561,2,1
"184",184,562,19,"Female","Other","Single","biological sciences, b.s.","No","Yes","No","Yes","i dislike them a lot","i dislike them a lot","i like math/statistics and composition/literature equally well","certainly not","certainly not","12 4 3","rdd","math training",33676,"no","no","no","no","no","no","math intensive",23,5,0,"no",5,"yes",3,16,562,3,1
"185",185,566,19,"Male","Hisp","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i like them a little","i like composition and literature best","not really","maybe","2 11 14","rdd","vocab training",33886,"no","no","no","yes","no","no","math intensive",19,6,31,"yes",0,"no",10,13,566,-1,0
"186",186,567,18,"Male","Black","Single","undecided","Yes","Yes","No","No","i like them a lot","i like them a little","i like composition and literature best","not really","probably","2 8 15","rdd","math training",33754,"no","no","yes","no","no","no","unknown",31,9,0,"no",5,"yes",13,17,567,11,1
"187",187,568,19,"Female","Asian","Single","biological sciences, b.s.","Yes","No","Yes","No","i dislike them a lot","i like them a lot","i like math and statistics best","probably","certainly not","8 4","rdd","vocab training",33694,"no","yes","no","no","no","no","math intensive",13,4,31,"yes",0,"no",8,13,568,-7,1
"188",188,570,18,"Female","Asian","Single","psychology, b.a.","No","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","not likely","2 14 3","rdd","math training",33502,"no","yes","no","no","no","no","english intensive",22,1,0,"no",5,"yes",9,7,570,2,1
"189",189,573,20,"Male","Hisp","Single","management, b.s.","Yes","Yes","No","Yes","i like them a little","i dislike them a little","i like math/statistics and composition/literature equally well","certainly not","not likely","7 9 10","rdd","math training",32074,"no","no","no","yes","no","no","english intensive",26,8,0,"no",3,"yes",4,12,573,6,1
"190",190,575,18,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","maybe","maybe","2 9 14","rdd","vocab training",NA,"no","yes","no","no","no","no","math intensive",7,5,31,"yes",0,"no",0,0,575,-13,1
"191",191,578,18,"Female","Other","Single","biological sciences, b.s.","Yes","No","No","No","i niether like nor dislike them","i dislike them a little","i like math/statistics and composition/literature equally well","maybe","maybe","2 4 8 11","rdd","math training",33616,"no","no","no","no","yes","no","math intensive",23,9,0,"no",4,"yes",8,11,578,3,1
"192",192,579,18,"Female","Hisp","Single","psychology, b.a.","No","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","certainly not","not likely","81415","rdd","math training",33115,"no","no","no","yes","no","no","english intensive",22,6,0,"no",5,"yes",6,16,579,2,1
"193",193,580,18,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","maybe","not likely","1,2,8","rdd","math training",33811,"no","no","no","yes","no","no","math intensive",24,5,0,"no",4,"yes",3,16,580,4,1
"194",194,581,18,"Female","Hisp","Single","undecided","Yes","Yes","No","No","i like them a little","i niether like nor dislike them","i like composition and literature best","not really","probably","1 2 14","rdd","math training",33619,"no","no","no","yes","no","no","unknown",23,5,0,"no",5,"yes",5,14,581,3,1
"195",195,582,21,"Female","Other","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i like them a lot","i niether like nor dislike them","i like composition and literature best","certainly not","probably","2 8 14","rdd","math training",31405,"no","no","no","no","no","no","english intensive",22,10,0,"no",4,"yes",6,14,582,2,1
"196",196,583,20,"Male","Other","Single","psychology, b.a.","Yes","No","Yes","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math and statistics best","maybe","not likely","2 13 14","rdd","vocab training",33454,"no","no","no","no","no","no","english intensive",16,3,31,"yes",0,"no",10,7,583,-4,1
"197",197,584,21,"Female","Hisp","Single","psychology, b.a.","Yes","No","Yes","Yes","i niether like nor dislike them","i dislike them a lot","i like composition and literature best","certainly not","maybe","6 8 14 15","rdd","math training",33775,"no","no","no","yes","no","no","english intensive",23,5,0,"no",5,"yes",9,12,584,3,1
"198",198,586,18,"Female","Asian","Single","polical science, b.a. ","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","certainly not","maybe","6 8 14","rdd","math training",33475,"no","yes","no","no","no","no","english intensive",30,5,0,"no",5,"yes",9,9,586,10,1
"199",199,589,20,"Female","Hisp","Single","undecided","Yes","No","No","Yes","i niether like nor dislike them","i dislike them a little","i like math/statistics and composition/literature equally well","not really","not likely","8 7 6","rdd","vocab training",33928,"no","no","no","yes","no","no","unknown",19,6,31,"yes",0,"no",12,12,589,-1,0
"200",200,591,19,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","No","No","i dislike them a lot","i dislike them a little","i like math and statistics best","not really","certainly not","3 4 14","rdd","math training",33751,"no","yes","no","no","no","no","math intensive",20,8,0,"no",5,"yes",3,17,591,0,1
"201",201,596,18,"Female","Asian","Single","undecided","Yes","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","probably","2 3 8 14","rdd","math training",33634,"no","yes","no","no","no","no","unknown",24,4,0,"no",4,"yes",5,11,596,4,1
